dong_code,dong_name,population,population_normalized
11350560,월계1동,19896.29707930285,0.17133901059946866
11350570,월계2동,18331.59474928764,0.15466005966501978
11350580,월계3동,22293.699633542336,0.19689413300533493
11350595,공릉1동,38271.440312559724,0.3672089256126217
11350600,공릉2동,46700.07032580762,0.457053941970601
11350611,하계1동,24572.373342849212,0.22118366479939736
11350612,하계2동,14569.31824955714,0.11455605781297096
11350619,중계본동,18851.529358182295,0.1602023047710212
11350621,중계1동,25007.618600353584,0.22582316341527559
11350624,중계4동,14851.55075568201,0.11756451637500141
11350625,중계2?3동,30488.532497511093,0.2842469876871679
11350630,상계1동,32587.935284203133,0.3066255803428978
11350640,상계2동,27361.374394359296,0.25091303300057516
11350665,상계3?4동,20106.66532070563,0.1735814317355637
11350670,상계5동,14918.045351464618,0.11827331579274966
11350695,상계6?7동,43222.35343095661,0.4199832043993468
11350700,상계8동,17698.513133079312,0.1479117235683146
11350710,상계9동,16136.203006643744,0.13125827233778045
11350720,상계10동,12556.629157598263,0.09310179014356941
11380510,녹번동,30333.01165245421,0.282589212598431
11380520,불광1동,26162.397368540922,0.23813253245325272
11380530,불광2동,19494.391988322688,0.16705490162603973
11380551,갈현1동,16768.48072879308,0.13799803932245122
11380552,갈현2동,21654.959004727694,0.19008547464043374
11380560,구산동,25308.346251117913,0.2290287710478031
11380570,대조동,55609.342847385924,0.5520223691267067
11380580,응암1동,22366.86861817583,0.1976740780985423
11380590,응암2동,16085.116189107472,0.13071371219573968
11380600,응암3동,22750.773576295745,0.20176631458157449
11380625,역촌동,39808.71027608833,0.3835954611234664
11380631,신사1동,21562.689487988653,0.18910192734653994
11380632,신사2동,14078.640226877382,0.10932567340828452
11380640,증산동,12798.005179623697,0.09567473884498505
11380650,수색동,14938.736285464269,0.11849387088897985
11380690,진관동,55773.7023753043,0.5537743601918271
11410520,천연동,14122.221299999275,0.10979022603681139
11410555,북아현동,49372.33900490235,0.4855390009669996
11410565,충현동,38926.36788598565,0.3741901287803083
11410585,신촌동,55095.4502700592,0.5465445290811008
11410615,연희동,37384.26284338383,0.3577520537241588
11410620,홍제1동,22709.673227506257,0.20132820524429115
11410640,홍제3동,14906.435954854303,0.1181495653817433
11410655,홍제2동,10130.091383790277,0.06723610074465557
11410660,홍은1동,14281.967001703784,0.11149303600239296
11410685,홍은2동,21590.560912437828,0.1893990229103054
11410690,남가좌1동,9236.611994546109,0.057712053513256624
11410700,남가좌2동,21766.607428711242,0.1912755914759548
11410710,북가좌1동,13390.88036282259,0.10199449430334794
11410720,북가좌2동,27115.35039094638,0.24829053912240678
11440555,아현동,28648.419144654083,0.26463229181985365
11440565,공덕동,34547.59327592621,0.3275145627808111
11440585,도화동,16629.54830310504,0.1365170885583322
11440590,용강동,23640.31272507725,0.21124836080352513
11440600,대흥동,22331.91687432571,0.19730150984094666
11440610,염리동,18380.29706862165,0.15517920223864778
11440630,신수동,15717.76893297674,0.12679797260529033
11440655,서강동,26819.768888743296,0.24513978688167354
11440660,서교동,71045.6526137944,0.7165657766899703
11440680,합정동,18929.342852299746,0.16103175803221137
11440690,망원1동,19477.928033951328,0.16687940403657536
11440700,망원2동,15217.315180576543,0.12146338376936613
11440710,연남동,17249.472274954165,0.14312517069077188
11440720,성산1동,20021.648328877047,0.17267519276083834
11440730,성산2동,33222.36808718242,0.3133883194205557
11440740,상암동,47899.499112537465,0.46983925806522087
11470510,목1동,39064.20218352294,0.37565937404287925
11470520,목2동,21251.395787016038,0.1857836908582778
11470530,목3동,18421.911850809018,0.1556227951808556
11470540,목4동,17320.928897793285,0.143886862856376
11470550,목5동,41322.659530242316,0.3997334094366349
11470560,신월1동,14135.41817962543,0.10993089822956663
11470570,신월2동,11794.874743473802,0.08498186582725664
11470580,신월3동,12658.491393473018,0.09418759106661896
11470590,신월4동,11671.046559290508,0.08366191878769738
11470600,신월5동,11086.170261467112,0.07742742748095555
11470610,신월6동,3822.4714435571345,0.0
11470611,신월7동,14274.184306331917,0.11141007632900649
11470620,신정1동,15097.584594044487,0.12018711508885517
11470630,신정2동,14101.494147446967,0.10956928486876992
11470640,신정3동,39457.83423290854,0.3798552964953404
11470650,신정4동,33706.25025125583,0.3185462633424242
11470670,신정6동,18559.890761377585,0.15709358194662942
11470680,신정7동,20327.874131998487,0.17593940797107266
11500510,염창동,29608.382146547057,0.27486502139424085
11500520,등촌1동,20320.76319842706,0.17586360894536607
11500530,등촌2동,15043.315161845576,0.11960862985270342
11500535,등촌3동,37204.977981541066,0.3558409660005687
11500540,화곡1동,46864.7203929728,0.45880903004001994
